Name,Season,Transfer_fee
Dimitri Payet,2016,29300000
Yannick Bolasie,2016,28900000
Grzegorz Krychowiak,2016,27500000
Georginio Wijnaldum,2016,27500000
Ilkay Gündogan,2016,27000000
Nico Gaitán,2016,25000000
Samuel Umtiti,2016,25000000
Jesé,2016,25000000
André Ayew,2016,24100000
Ezequiel Garay,2016,24000000
Naby Keïta,2016,24000000
Odion Ighalo,2016,23300000
Marcos Alonso,2016,23000000
Marko Pjaca,2016,23000000
Morgan Schneiderlin,2016,22900000
Breel Embolo,2016,22500000
Vincent Janssen,2016,22100000
Mario Götze,2016,22000000
Antonio Candreva,2016,22000000
Chengdong Zhang,2016,20440000
Axel Witsel,2016,20000000
Kevin Volland,2016,20000000
Didier Ndong,2016,20000000
Ahmed Musa,2016,19500000
Mattia Caldara,2016,19000000
Sofiane Boufal,2016,18700000
Joaquín Correa,2016,18200000
Claudio Bravo,2016,18000000
Nolito,2016,18000000
Aleksandar Dragovic,2016,18000000
Leonardo Pavoletti,2016,18000000
Jordon Ibe,2016,18000000
Alexandre Pato,2016,18000000
Borja Bastón,2016,18000000
Yuhao Zhao,2016,17800000
Wilfred Ndidi,2016,17600000
Manolo Gabbiadini,2016,17000000
Franco Vázquez,2016,16800000
Gerson,2016,16600000
Lucas Digne,2016,16500000
Memphis Depay,2016,16000000
Rafa Silva,2016,16000000
Sime Vrsaljko,2016,16000000
Andros Townsend,2016,15600000
Joe Allen,2016,15500000
Nampalys Mendy,2016,15500000
Ryan Mason,2016,15400000
Graziano Pellè,2016,15250000
Nacer Chadli,2016,15200000
Oliver Burke,2016,15200000
Robbie Brady,2016,15100000
Luka Milivojevic,2016,15100000
Mohamed Salah,2016,15000000
Christoph Kramer,2016,15000000
Ousmane Dembélé,2016,15000000
Jonatan Soriano,2016,15000000
Pierre-Emile Höjbjerg,2016,15000000
Djibril Sidibé,2016,15000000
Isaac Success,2016,15000000
Hélder Costa,2016,15000000
Rodolfo Pizarro,2016,14750000
Amadou Diawara,2016,14500000
Victor Wanyama,2016,14400000
Ross McCormack,2016,14300000
Lucas Pérez,2016,14000000
Piotr Zielinski,2016,14000000
Filip Kostic,2016,14000000
Ashley Williams,2016,14000000
Timo Werner,2016,14000000
Saido Berahino,2016,13900000
Jeffrey Schlupp,2016,13800000
Roberto Soriano,2016,13750000
Leon Bailey,2016,13500000
Stevan Jovetic,2016,13500000
Nathan Redmond,2016,13500000
Stephan El Shaarawy,2016,13000000
Roberto Pereyra,2016,13000000
Nicola Sansone,2016,13000000
Jasper Cillessen,2016,13000000
Benjamin Mendy,2016,13000000
Yannick Gerhardt,2016,13000000
Jonathan Kodjia,2016,12900000
Fernando,2016,12500000
Yunus Malli,2016,12500000
Jannik Vestergaard,2016,12500000
Yongpo Wang,2016,12440000
Riechedly Bazoer,2016,12000000
Manuel Lanzini,2016,12000000
Raphaël Guerreiro,2016,12000000
Sebastian Rode,2016,12000000
Maicon,2016,12000000
Brown Ideye,2016,12000000
Matt Ritchie,2016,12000000
Robert Snodgrass,2016,12000000
Dwight Gayle,2016,12000000
David Neres,2016,12000000
Bas Dost,2016,11850000
Jeff Hendrick,2016,11800000
James Tomkins,2016,11700000
Jeffrey Bruma,2016,11500000
Anthony Ujah,2016,11500000
Jake Livermore,2016,11500000
Min Cui,2016,11500000
Edin Dzeko,2016,11000000
Hakim Ziyech,2016,11000000
Kamil Glik,2016,11000000
Georges-Kevin N'Koudou,2016,11000000
Andrej Kramaric,2016,11000000
Mingjian Zhao,2016,10950000
Hang Ren,2016,10750000
Carlos Tévez,2016,10500000
Cristian Ansaldi,2016,10500000
Patrick van Aanholt,2016,10500000
Marten de Roon,2016,10500000
Scott Hogan,2016,10500000
Kyung-won Kwon,2016,10500000
Wenzhao Zhang,2016,10400000
Dennis Praet,2016,10000000
Maxime Lestienne,2016,10000000
Giovani Lo Celso,2016,10000000
Lorenzo Tonelli,2016,10000000
Dayot Upamecano,2016,10000000
Rubén Rochina,2016,10000000
Josip Brekalo,2016,10000000
Miguel Borja,2016,9850000
Éder,2016,9800000
Mario Lemina,2016,9800000
Emre Mor,2016,9750000
Chenglin Zhang,2016,9650000
Ganso,2016,9500000
Wissam Ben Yedder,2016,9500000
Papy Djilobodji,2016,9500000
Ciro Immobile,2016,9450000
Matej Vydra,2016,9400000
Alex Pritchard,2016,9400000
James Chester,2016,9300000
Walace,2016,9200000
José Fonte,2016,9200000
Nicolás López,2016,9090000
Hongbo Yin,2016,9050000
Miranda,2016,9000000
Adem Ljajic,2016,9000000
Morgan Sanson,2016,9000000
Antonio Rüdiger,2016,9000000
Diego Perotti,2016,9000000
Sven Kums,2016,9000000
Gianluca Lapadula,2016,9000000
Kamil Grosicki,2016,9000000
Daryl Janmaat,2016,8900000
Roger Martínez,2016,8900000
Ademola Lookman,2016,8800000
Steven Defour,2016,8600000
Alexander Isak,2016,8600000
Nani,2016,8500000
Idrissa Gueye,2016,8500000
Emanuel Mammana,2016,8500000
Borek Dockal,2016,8500000
Jorge,2016,8500000
Gustavo Gómez,2016,8500000
Óscar Romero,2016,8400000
Taiyan Jin,2016,8280000
Yang Yu,2016,8270000
Adama Traoré,2016,8250000
Gianluca Caprari,2016,8250000
Nicolae Stanciu,2016,8200000
Yanic Wildschut,2016,8200000
Shilin Sun,2016,8200000
Marc Bartra,2016,8000000
Tomás Rincón,2016,8000000
Rémy Cabella,2016,8000000
Ivan Cavaleiro,2016,8000000
Benjamin Stambouli,2016,8000000
Alisson,2016,8000000
Andy Delort,2016,8000000
Hernanes,2016,8000000
Alfred N'Diaye,2016,8000000
Wallace,2016,8000000
Hernani,2016,8000000
Dodô,2016,7800000
José Sosa,2016,7500000
Max Kruse,2016,7500000
Antonio Sanabria,2016,7500000
Timothée Kolodziejczak,2016,7500000
Miguel Almirón,2016,7500000
Malick Evouna,2016,7250000
Eran Zahavi,2016,7230000
Cristian Espinoza,2016,7200000
Diogo Jota,2016,7200000
Rudy Gestede,2016,7100000
Arthur Masuaku,2016,7100000
Denis Cheryshev,2016,7000000
Konstantinos Mitroglou,2016,7000000
Gerónimo Rulli,2016,7000000
Odil Akhmedov,2016,7000000
Anwar El Ghazi,2016,7000000
Jonathas,2016,7000000
Martin Hinteregger,2016,7000000
Giuliano,2016,7000000
Leo Baptistão,2016,7000000
Lewis Cook,2016,7000000
Ismael Sosa,2016,7000000
Harold Preciado,2016,7000000
Christian Kabasele,2016,6950000
Patrick Bamford,2016,6900000
Haiqing Cao,2016,6870000
Hernán Toledo,2016,6750000
Matz Sels,2016,6600000
Silvio Romero,2016,6600000
Grant Hanley,2016,6600000
Alex Telles,2016,6500000
Douglas Santos,2016,6500000
Matt Phillips,2016,6500000
Hiroshi Kiyotake,2016,6500000
Jhon Córdoba,2016,6500000
Willy Boly,2016,6500000
Simone Verdi,2016,6500000
Lys Mousset,2016,6500000
Edimilson Fernandes,2016,6400000
Loris Karius,2016,6200000
Neymar,2017,222000000
Philippe Coutinho,2017,125000000
Ousmane Dembélé,2017,115000000
Romelu Lukaku,2017,84700000
Virgil van Dijk,2017,78800000
Diego Costa,2017,66000000
Álvaro Morata,2017,66000000
Aymeric Laporte,2017,65000000
Pierre-Emerick Aubameyang,2017,63750000
Benjamin Mendy,2017,57500000
Alexandre Lacazette,2017,53000000
Kyle Walker,2017,52700000
Bernardo Silva,2017,50000000
Gylfi Sigurdsson,2017,49400000
Nemanja Matic,2017,44700000
Leonardo Bonucci,2017,42000000
Mohamed Salah,2017,42000000
Corentin Tolisso,2017,41500000
Federico Bernardeschi,2017,40000000
Cédric Bakambu,2017,40000000
Ederson,2017,40000000
Tiemoué Bakayoko,2017,40000000
Paulinho,2017,40000000
Davinson Sánchez,2017,40000000
André Silva,2017,38000000
Alex Oxlade-Chamberlain,2017,38000000
Danny Drinkwater,2017,37900000
Vitolo,2017,36000000
Antonio Rüdiger,2017,35000000
Victor Lindelöf,2017,35000000
Iñigo Martínez,2017,32000000
Nélson Semedo,2017,30570000
Yannick Carrasco,2017,30000000
Keita Baldé,2017,30000000
Danilo,2017,30000000
Michael Keane,2017,28500000
Jordan Pickford,2017,28500000
Lucas Moura,2017,28400000
Mamadou Sakho,2017,28200000
Kelechi Iheanacho,2017,27700000
Davy Klaassen,2017,27000000
Milan Skriniar,2017,27000000
Youri Tielemans,2017,25000000
Andriy Yarmolenko,2017,25000000
Serge Aurier,2017,25000000
Davide Zappacosta,2017,25000000
Adrien Silva,2017,24500000
Theo Hernández,2017,24000000
Matías Vecino,2017,24000000
Lucas Alario,2017,24000000
Andrea Conti,2017,24000000
Leandro Paredes,2017,23000000
André Ayew,2017,22800000
Nathan Aké,2017,22800000
Theo Walcott,2017,22500000
Cenk Tosun,2017,22500000
Marko Arnautovic,2017,22300000
Hakan Calhanoglu,2017,22000000
Guido Carrillo,2017,22000000
Luis Muriel,2017,21500000
Manuel Akanji,2017,21500000
Kingsley Coman,2017,21000000
Pietro Pellegri,2017,21000000
Andre Gray,2017,20400000
Blaise Matuidi,2017,20000000
Juan Cuadrado,2017,20000000
Niklas Süle,2017,20000000
Roberto Gagliardini,2017,20000000
Kevin Kampl,2017,20000000
Maximilian Philipp,2017,20000000
Óliver Torres,2017,20000000
Emerson,2017,20000000
Nikola Maksimovic,2017,20000000
Dalbert,2017,20000000
Kevin Wimmer,2017,19400000
Nabil Bentaleb,2017,19000000
Mateo Musacchio,2017,18000000
Rúben Neves,2017,17900000
Chicharito,2017,17800000
Panagiotis Retsos,2017,17500000
Britt Assombalonga,2017,17100000
Lucas Biglia,2017,17000000
Olivier Giroud,2017,17000000
Medhi Benatia,2017,17000000
Matthias Ginter,2017,17000000
John Anthony Brooks,2017,17000000
Jürgen Locadia,2017,17000000
Mario Lemina,2017,17000000
Jhon Córdoba,2017,17000000
Ismaïla Sarr,2017,17000000
Ross Barkley,2017,16900000
Dani Ceballos,2017,16500000
Wesley Hoedt,2017,16400000
Chris Wood,2017,16400000
Sam Clucas,2017,16300000
Simone Zaza,2017,16000000
Yuri Berchiche,2017,16000000
Emanuel Mammana,2017,16000000
Badou Ndiaye,2017,16000000
Jean-Kévin Augustin,2017,16000000
Oliver Burke,2017,15200000
Fernando Llorente,2017,15100000
Ricardo Rodríguez,2017,15000000
José Izquierdo,2017,15000000
Konstantinos Mitroglou,2017,15000000
Terence Kongolo,2017,15000000
Giovanni Simeone,2017,15000000
Vicente Iborra,2017,15000000
Sebastián Driussi,2017,15000000
Gianluca Caprari,2017,15000000
Francis Coquelin,2017,14000000
Enes Ünal,2017,14000000
Rúben Semedo,2017,14000000
Rick Karsdorp,2017,14000000
Thiago Maia,2017,14000000
Jay Rodríguez,2017,13700000
Harry Maguire,2017,13700000
Marten de Roon,2017,13500000
Cengiz Ünder,2017,13400000
Wilfried Bony,2017,13000000
Bruma,2017,13000000
Marko Rog,2017,13000000
Davy Pröpper,2017,13000000
Sandro Wagner,2017,13000000
Steve Mounié,2017,13000000
Emre Mor,2017,13000000
Juan Foyth,2017,13000000
Roque Mesa,2017,12500000
Bruno Peres,2017,12500000
Simon Kjær,2017,12500000
Yevhen Konoplyanka,2017,12500000
Sven Bender,2017,12500000
Richarlison,2017,12400000
Alex Pritchard,2017,12350000
Ezequiel Barco,2017,12280000
Wojciech Szczesny,2017,12200000
Ömer Toprak,2017,12000000
Mahmoud Dahoud,2017,12000000
Gerard Deulofeu,2017,12000000
Pablo Fornals,2017,12000000
Mattia De Sciglio,2017,12000000
Adrián Ramos,2017,12000000
Denis Zakaria,2017,12000000
Pedro Rocha,2017,12000000
Douglas Luiz,2017,12000000
Yerry Mina,2017,11800000
Jordan Rhodes,2017,11700000
Asmir Begovic,2017,11500000
Lucas Pratto,2017,11500000
Martin Braithwaite,2017,11300000
Jacob Murphy,2017,11300000
Florian Thauvin,2017,11000000
Gabriel Paulista,2017,11000000
Martin Terrier,2017,11000000
Guilherme Arana,2017,11000000
Stevan Jovetic,2017,11000000
Jonathan Viera,2017,11000000
Jô,2017,11000000
Nikola Vlasic,2017,10800000
Marc Bartra,2017,10500000
Rodrigo Bentancur,2017,10500000
Luiz Araújo,2017,10500000
Jordan Hugill,2017,10200000
Luiz Gustavo,2017,10000000
Lorenzo Pellegrini,2017,10000000
Ignacio Camacho,2017,10000000
Marco Benassi,2017,10000000
Diafra Sakho,2017,10000000
Bertrand Traoré,2017,10000000
Landry Dimata,2017,10000000
Florian Lejeune,2017,10000000
Roberto Inglese,2017,10000000
Adam Ounas,2017,10000000
Loïs Diony,2017,10000000
Nicolas Pépé,2017,10000000
Allan Saint-Maximin,2017,10000000
Adama Diakhaby,2017,10000000
Pape Cheikh,2017,10000000
Bruno Fernandes,2017,9690000
Marcos Acuña,2017,9590000
Tom Cleverley,2017,9300000
Rui Fonte,2017,9130000
Will Hughes,2017,9100000
Tom Ince,2017,9100000
Aaron Mooy,2017,9100000
Jack Cork,2017,9100000
Jonathas,2017,9000000
Emiliano Rigoni,2017,9000000
Andrew Robertson,2017,9000000
Gastón Ramírez,2017,9000000
Jairo Riedewald,2017,9000000
Thiago Mendes,2017,9000000
Kévin Malcuit,2017,9000000
Younès Belhanda,2017,8750000
Guido Pizarro,2017,8700000
Adnan Januzaj,2017,8500000
Serge Gnabry,2017,8000000
Valère Germain,2017,8000000
Juan Jesus,2017,8000000
Soualiho Meïté,2017,8000000
Sofiane Hanni,2017,8000000
Henry Onyekuru,2017,8000000
Hirving Lozano,2017,8000000
Matías Kranevitter,2017,8000000
Davie Selke,2017,8000000
Nicolas de Préville,2017,8000000
Havard Nordtveit,2017,8000000
Mariano Díaz,2017,8000000
Vitor Hugo,2017,8000000
Miha Mevlja,2017,8000000
Admir Mehmedi,2017,8000000
Wanderson,2017,8000000
Sone Aluko,2017,8000000
Amine Harit,2017,8000000
Alessandro Bastoni,2017,8000000
Rafik Guitane,2017,8000000
Jadon Sancho,2017,7840000
Alexander Sörloth,2017,7800000
Bruno Martins Indi,2017,7700000
Filippo Romagna,2017,7600000
Jonathan Cafú,2017,7500000
Kieran Gibbs,2017,7500000
Maicon,2017,7500000
Wendel,2017,7500000
Christian Atsu,2017,7500000
Badou Ndiaye,2017,7500000
Maximilian Wöber,2017,7500000
Ashley Fletcher,2017,7300000
Santiago Ascacíbar,2017,7200000
Yuning Zhang,2017,7200000
Avilés Hurtado,2017,7130000
Björn Engels,2017,7100000
Éver Banega,2017,7000000
Nolito,2017,7000000
Ryad Boudebouz,2017,7000000
Giuliano,2017,7000000
Jordan Veretout,2017,7000000
Konrad Laimer,2017,7000000
Sébastien Haller,2017,7000000
Diego Llorente,2017,7000000
Clinton N'Jie,2017,7000000
Marcelo,2017,7000000
Jorge Meré,2017,7000000
Víctor Camarasa,2017,7000000
Kylian Mbappé,2018,135000000
Cristiano Ronaldo,2018,117000000
Thomas Lemar,2018,70000000
Riyad Mahrez,2018,67800000
Alisson,2018,62500000
Naby Keïta,2018,60000000
Fred,2018,59000000
Jorginho,2018,57000000
Fabinho,2018,45000000
Vinícius Júnior,2018,45000000
Malcom,2018,41000000
João Cancelo,2018,40400000
Douglas Costa,2018,40000000
Richarlison,2018,39200000
Radja Nainggolan,2018,38000000
Felipe Anderson,2018,38000000
Clément Lenglet,2018,35900000
Arthur,2018,31000000
Jean Michaël Seri,2018,30000000
Lucas Torreira,2018,30000000
Aleksandr Golovin,2018,30000000
Álvaro Odriozola,2018,30000000
Fabián Ruiz,2018,30000000
Anthony Modeste,2018,29000000
Abdou Diallo,2018,28000000
Geoffrey Kondogbia,2018,25000000
Simone Verdi,2018,25000000
Issa Diop,2018,25000000
Bernd Leno,2018,25000000
Jannik Vestergaard,2018,25000000
James Maddison,2018,25000000
Javier Pastore,2018,24700000
Yuri Berchiche,2018,24000000
Alassane Pléa,2018,23000000
Ricardo Pereira,2018,22000000
Diogo Dalot,2018,22000000
Alex Meret,2018,22000000
Lucas Digne,2018,20200000
Aleksandar Mitrovic,2018,20200000
William Carvalho,2018,20000000
Rodri,2018,20000000
Andriy Yarmolenko,2018,20000000
Gerard Moreno,2018,20000000
Nikola Kalinic,2018,20000000
Thomas Delaney,2018,20000000
Rolando Mandragora,2018,20000000
Terence Kongolo,2018,20000000
Willem Geubbels,2018,20000000
Alireza Jahanbakhsh,2018,19000000
Duje Caleta-Car,2018,19000000
Paulinho,2018,18500000
Karl Toko Ekambi,2018,18000000
Mohamed Elyounoussi,2018,18000000
Justin Kluivert,2018,17250000
Duván Zapata,2018,17000000
Yves Bissouma,2018,16900000
Lautaro Martínez,2018,16000000
Sokratis,2018,16000000
Daley Blind,2018,16000000
Nordi Mukiele,2018,16000000
Joris Gnagnon,2018,15000000
Joaquín Correa,2018,15000000
Grégoire Defrel,2018,15000000
Mouctar Diakhaby,2018,15000000
Ibrahim Amadou,2018,15000000
João Carvalho,2018,15000000
Matheus Cunha,2018,15000000
Roger Martínez,2018,14900000
Xherdan Shaqiri,2018,14700000
Rodolfo Pizarro,2018,14500000
Diogo Jota,2018,14000000
Daniel Ginczek,2018,14000000
Jean-Eudes Aholou,2018,14000000
Danny Ward,2018,14000000
Davy Klaassen,2018,13500000
Benik Afobe,2018,13500000
Gerard Deulofeu,2018,13000000
Mattia Perin,2018,12000000
Mitchell Weiser,2018,12000000
M'Baye Niang,2018,12000000
Mikel Merino,2018,12000000
Willy Boly,2018,12000000
Marcelo Saracchi,2018,12000000
Diego Rico,2018,12000000
Dusan Tadic,2018,11400000
Benik Afobe,2018,11400000
Josh Murphy,2018,11400000
Bobby Reid,2018,11350000
David Brooks,2018,11300000
Angus Gunn,2018,11300000
Tom Ince,2018,11200000
Santiago Arias,2018,11000000
Suat Serdar,2018,11000000
Gianluca Lapadula,2018,11000000
Wout Weghorst,2018,10500000
Odsonne Edouard,2018,10300000
Djaniny,2018,10240000
Jordan Amavi,2018,10000000
Francesco Acerbi,2018,10000000
Leonardo Pavoletti,2018,10000000
Vitinho,2018,10000000
Soualiho Meïté,2018,10000000
Omar Mascarell,2018,10000000
Danilo,2018,10000000
Santiago Cáseres,2018,10000000
Bernardo,2018,10000000
Adama Diakhaby,2018,10000000
Pelé,2018,10000000
Diego Falcinelli,2018,10000000
Antonio Barreca,2018,10000000
Federico Di Francesco,2018,10000000
Borja Iglesias,2018,10000000
Alphonso Davies,2018,10000000
Davide Santon,2018,9500000
Patrik Schick,2018,9000000
Germán Pezzella,2018,9000000
Ramiro Funes Mori,2018,9000000
Pablo Maffeo,2018,9000000
Riccardo Saponara,2018,9000000
Khouma Babacar,2018,9000000
Lukasz Skorupski,2018,9000000
Jordan Siebatcheu,2018,9000000
Antonino La Gumina,2018,9000000
Guido Pizarro,2018,8700000
Keno,2018,8600000
Alban Lafont,2018,8500000
Nicólas González,2018,8500000
Andriy Lunin,2018,8500000
Nordin Amrabat,2018,8500000
Roger Martínez,2018,8500000
Robin Olsen,2018,8500000
Hassane Bandé,2018,8250000
Tanguy Ndombélé,2018,8000000
Sergi Darder,2018,8000000
Kasim Adams,2018,8000000
Armando Izzo,2018,8000000
Cristiano Piccini,2018,8000000
Ignacio Pussetto,2018,8000000
Chancel Mbemba,2018,8000000
Samuel Gigot,2018,8000000
Lukasz Fabianski,2018,8000000
Aden Flint,2018,8000000
Christian Cueva,2018,8000000
Mattéo Guendouzi,2018,8000000
Jean-Philippe Mateta,2018,8000000
Fran Beltrán,2018,8000000
Stuart Armstrong,2018,7950000
Patrick Bamford,2018,7900000
Omar Colley,2018,7750000
Valon Berisha,2018,7500000
Andrea Favilli,2018,7500000
Pierre Kunde,2018,7500000
Federico Valietti,2018,7500000
Sam Johnstone,2018,7350000
Oghenekaro Etebo,2018,7200000
Salif Sané,2018,7000000
Jonny Castro,2018,7000000
Wahbi Khazri,2018,7000000
Mikel Merino,2018,7000000
Marcel Tisserand,2018,7000000
Tomas Vaclik,2018,7000000
Néstor Araujo,2018,7000000
Federico Dimarco,2018,7000000
Davide Bettella,2018,7000000
Nicolás Castillo,2018,6850000
Lewis Grabban,2018,6800000
Maycon,2018,6600000
Valentino Lazaro,2018,6500000
Lucas Castro,2018,6500000
Ramadan Sobhi,2018,6500000
Raphinha,2018,6500000
Riza Durmisi,2018,6500000
Ronaldo Vieira,2018,6500000
Raúl Ruidíaz,2018,6360000
Daniel Wass,2018,6000000
Tomás Rincón,2018,6000000
Ante Coric,2018,6000000
Okay Yokuslu,2018,6000000
Roque Mesa,2018,6000000
Leonardo Bittencourt,2018,6000000
Zakaria Labyad,2018,6000000
Florin Andone,2018,6000000
Moussa Niakhaté,2018,6000000
Uros Spajic,2018,6000000
Walace,2018,6000000
Ronaël Pierre-Gabriel,2018,6000000
Fabri,2018,6000000
Diego Rolan,2018,6000000
Majeed Waris,2018,6000000
Igor Coronado,2018,6000000
Federico Santander,2018,6000000
Borna Sosa,2018,6000000
Ayoub El Kaabi,2018,6000000
William Bianda,2018,6000000
Milton Caraglio,2018,5980000
Elías Hernández,2018,5940000
Bremer,2018,5800000
Éder,2018,5700000
André Horta,2018,5700000
Paddy McNair,2018,5700000
João Moutinho,2018,5600000
James McClean,2018,5600000
Vincenzo Grifo,2018,5500000
Fabio Borini,2018,5500000
Ishak Belfodil,2018,5500000
Denzel Dumfries,2018,5500000
Angeliño,2018,5500000
Fernando,2018,5500000
Carlos Eduardo,2018,5200000
Carlos Izquierdoz,2018,5150000
Jesús Gallardo,2018,5150000
Rodriguinho,2018,5100000
Yimmi Chará,2018,5100000
Bryan Cristante,2018,5000000
Marius Wolf,2018,5000000
Benedikt Höwedes,2018,5000000
Gonzalo Castro,2018,5000000
Sergi Gómez,2018,5000000
Adam Masina,2018,5000000
Christophe Hérelle,2018,5000000
Firmin Mubele,2018,5000000
Florent Hadergjonaj,2018,5000000
Nemanja Maksimovic,2018,5000000
Juan Iturbe,2018,5000000
Sidcley,2018,5000000
Fabrício,2018,5000000
Johan Mojica,2018,5000000
Petros,2018,5000000
Christian Kouamé,2018,5000000
Luca Waldschmidt,2018,5000000
Marc Muniesa,2018,5000000
Pietro Iemmello,2018,5000000
Felipe Vizeu,2018,5000000
Marco Tumminello,2018,5000000
Jens Odgaard,2018,5000000
Marco Carraro,2018,5000000
Jonathan Ikoné,2018,5000000
Giangiacomo Magnani,2018,5000000
Giangiacomo Magnani,2018,5000000
Evan N'Dicka,2018,5000000
Jasmin Kurtic,2018,4800000
Tchê Tchê,2018,4800000
Silvan Widmer,2018,4500000
Yuya Osako,2018,4500000
Kyle Bartley,2018,4500000
