Player,Pos,Squad,Age,Born,MP,Minutes,90s,League
Adrien Thomasson\Adrien-Thomasson,MF,Strasbourg,26,1993,37,2624,29.2,Ligue 1
Paul Baysse\Paul-Baysse,DF,Bordeaux,32,1988,31,2614,29,Ligue 1
Jason Denayer\Jason-Denayer,DF,Lyon,25,1995,31,2614,29,Ligue 1
Ghislain Konan\Ghislain-Konan,DF,Reims,24,1995,31,2613,29,Ligue 1
Loïc Bade\Loic-Bade,DF,Lens,20,2000,31,2610,29,Ligue 1
Didier Ibrahim Ndong\Didier-Ibrahim-Ndong,MF,Dijon,26,1994,29,2610,29,Ligue 1
Jessy Moulin\Jessy-Moulin,GK,Saint-Etienne,34,1986,29,2610,29,Ligue 1
Wissam Ben Yedder\Wissam-Ben-Yedder,FW,Monaco,29,1990,37,2607,29,Ligue 1
Toma Bašić\Toma-Basic,MF,Bordeaux,23,1996,34,2601,28.9,Ligue 1
Ibrahima Sissoko\Ibrahima-Sissoko,MF,Strasbourg,22,1997,36,2581,28.7,Ligue 1
Jordan Ferri\Jordan-Ferri,MF,Montpellier,28,1992,34,2577,28.6,Ligue 1
Benjamin Bourigeaud\Benjamin-Bourigeaud,MFFW,Rennes,26,1994,37,2552,28.4,Ligue 1
Alexander Djiku\Alexander-Djiku,DFMF,Strasbourg,25,1994,30,2552,28.4,Ligue 1
Xavier Chavalerin\Xavier-Chavalerin,MF,Reims,29,1991,30,2547,28.3,Ligue 1
Jonathan Clauss\Jonathan-Clauss,DF,Lens,27,1992,33,2521,28,Ligue 1
Benjamin Lecomte\Benjamin-Lecomte,GK,Monaco,29,1991,28,2520,28,Ligue 1
Keylor Navas\Keylor-Navas,GK,Paris S-G,33,1986,29,2520,28,Ligue 1
Hwang Ui-jo\Hwang-Ui-jo,FWMF,Bordeaux,27,1992,36,2503,27.8,Ligue 1
Jérémy Morel\Jeremy-Morel,DF,Lorient,36,1984,28,2493,27.7,Ligue 1
Andy Delort\Andy-Delort,FW,Montpellier,28,1991,30,2482,27.6,Ligue 1
Franck Honorat\Franck-Honorat,MFFW,Brest,23,1996,36,2458,27.3,Ligue 1
Junior Sambia\Junior-Sambia,DFMF,Montpellier,23,1996,36,2448,27.2,Ligue 1
Maxwel Cornet\Maxwel-Cornet,DFFW,Lyon,23,1996,36,2446,27.2,Ligue 1
Yvan Neyou\Yvan-Neyou,MF,Saint-Etienne,23,1997,31,2438,27.1,Ligue 1
Martin Terrier\Martin-Terrier,FWMF,Rennes,23,1997,34,2436,27.1,Ligue 1
Remi Oudin\Remi-Oudin,FWMF,Bordeaux,23,1996,38,2420,26.9,Ligue 1
Yacine Adli\Yacine-Adli,MF,Bordeaux,20,2000,35,2418,26.9,Ligue 1
Dimitri Payet\Dimitri-Payet,FWMF,Marseille,33,1987,33,2417,26.9,Ligue 1
Florian Sotoca\Florian-Sotoca,FW,Lens,29,1990,33,2413,26.8,Ligue 1
Eduardo Camavinga\Eduardo-Camavinga,MF,Rennes,17,2002,35,2402,26.7,Ligue 1
Gaël Kakuta\Gael-Kakuta,MFFW,Lens,29,1991,35,2394,26.6,Ligue 1
Hiroki Sakai\Hiroki-Sakai,DF,Marseille,30,1990,29,2385,26.5,Ligue 1
Zeki Çelik\Zeki-Celik,DF,Lille,23,1997,29,2381,26.5,Ligue 1
Kylian Mbappé\Kylian-Mbappe,FW,Paris S-G,21,1998,31,2380,26.4,Ligue 1
Imran Louza\Imran-Louza,MF,Nantes,21,1999,33,2379,26.4,Ligue 1
Caio Henrique Oliveira Silva\Caio-Henrique-Oliveira-Silva,DF,Monaco,23,1997,31,2368,26.3,Ligue 1
Florent Mollet\Florent-Mollet,MF,Montpellier,28,1991,34,2355,26.2,Ligue 1
Jonathan David\Jonathan-David,FW,Lille,20,2000,37,2354,26.2,Ligue 1
Birger Meling\Birger-Meling,DF,Names,25,1994,26,2328,25.9,Ligue 1
Moses Simon\Moses-Simon,FWMF,Nantes,25,1995,33,2324,25.8,Ligue 1
Habib Diallo\Habib-Diallo,FW,Strasbourg,25,1995,32,2322,25.8,Ligue 1
Jeremy Doku\Jeremy-Doku,MFFW,Rennes,18,2002,30,2313,25.7,Ligue 1
Seko Fofana\Seko-Fofana,MF,Lens,25,1995,30,2309,25.7,Ligue 1
Vincent Manceau\Vincent-Manceau,DF,Angers,31,1989,27,2309,25.7,Ligue 1
Muzinga Ngonda\Muzinga-Ngonda,DF,Dijon,25,1994,30,2307,25.6,Ligue 1
Vincent Le Goff\Vincent-Le-Goff,DF,Lorient,30,1989,26,2306,25.6,Ligue 1
Ronaël Pierre-Gabriel\Ronael-Pierre-Gabriel,DF,Brest,22,1998,29,2305,25.6,Ligue 1
Presnel Kimpembe\Presnel-Kimpembe,DF,Paris S-G,24,1995,28,2303,25.6,Ligue 1
Bersant Celina\Bersant-Celina,MFFW,Dijon,23,1996,32,2298,25.5,Ligue 1
Pedro Chirivella\Pedro-Chirivella,MF,Nantes,23,1997,32,2280,25.3,Ligue 1
Harold Moukoudi\Harold-Moukoudi,DF,Saint-Etienne,22,1997,26,2276,25.3,Ligue 1
Lucas Paquetá\Lucas-Paqueta,MF,Lyon,22,1997,30,2275,25.3,Ligue 1
Andrew Gravillon\Andrew-Gravillon,DF,Lorient,22,1998,26,2272,25.2,Ligue 1
Yannick Cahuzac\Yannick-Cahuzac,MF,Lens,35,1985,30,2252,25,Ligue 1
Thiago Mendes\Thiago-Mendes,MF,Lyon,28,1992,32,2243,24.9,Ligue 1
Adrián Cubas\Adrian-Cubas,MF,Names,24,1996,27,2242,24.9,Ligue 1
Trevoh Chalobah\Trevoh-Chalobah,DFMF,Lorient,21,1999,29,2237,24.9,Ligue 1
Mihailo Ristić\Mihailo-Ristic,DF,Montpellier,24,1995,34,2236,24.8,Ligue 1
Ruben Aguilar\Ruben-Aguilar,DFFW,Monaco,27,1993,33,2225,24.7,Ligue 1
Souleyman Doumbia\Souleyman-Doumbia,DF,Angers,23,1996,27,2222,24.7,Ligue 1
Laurent Koscielny\Laurent-Koscielny,DF,Bordeaux,34,1985,26,2218,24.6,Ligue 1
Nathanael Mbuku\Nathanael-Mbuku,MFFW,Reims,18,2002,32,2210,24.6,Ligue 1
Morgan Schneiderlin\Morgan-Schneiderlin,MF,Nice,30,1989,28,2197,24.4,Ligue 1
Reinildo Mandava\Reinildo-Mandava,DF,Lille,26,1994,29,2180,24.2,Ligue 1
Jonathan Ikone\Jonathan-Ikone,MFFW,Lille,22,1998,37,2177,24.2,Ligue 1
Lamine Fomba\Lamine-Fomba,MF,Names,22,1998,32,2175,24.2,Ligue 1
Téji Savanier\Teji-Savanier,MF,Montpellier,28,1991,27,2165,24.1,Ligue 1
Mama Samba Baldé\Mama-Samba-Balde,FW,Dijon,24,1995,29,2161,24,Ligue 1
Eiji Kawashima\Eiji-Kawashima,GK,Strasbourg,37,1983,24,2160,24,Ligue 1
Jean-Eudes Aholou\Jean-Eudes-Aholou,MF,Strasbourg,26,1994,27,2146,23.8,Ligue 1
Junior Dina Ebimbe\Junior-Dina-Ebimbe,FWMF,Dijon,19,2000,30,2144,23.8,Ligue 1
Massadio Haïdara\Massadio-Haidara,DF,Lens,27,1992,25,2132,23.7,Ligue 1
Marquinhos\Marquinhos,DF,Paris S-G,26,1994,25,2128,23.6,Ligue 1
Jordan Lotomba\Jordan-Lotomba,DF,Nice,21,1998,30,2123,23.6,Ligue 1
Vitorino Hilton\Vitorino-Hilton,DF,Montpellier,42,1977,29,2117,23.5,Ligue 1
Mathieu Debuchy\Mathieu-Debuchy,DF,Saint-Etienne,35,1985,26,2103,23.4,Ligue 1
Guillermo Maripán\Guillermo-Maripan,DF,Monaco,26,1994,28,2089,23.2,Ligue 1
Jean-Ricner Bellegarde\Jean-Ricner-Bellegarde,MFFW,Strasbourg,22,1998,36,2086,23.2,Ligue 1
Mathieu Cafaro\Mathieu-Cafaro,MFFW,Reims,23,1997,31,2074,23,Ligue 1
Terem Moffi\Terem-Moffi,FW,Lorient,21,1999,32,2073,23,Ligue 1
Paul Nardi\Paul-Nardi,GK,Lorient,26,1994,23,2070,23,Ligue 1
Sébastien Corchia\Sebastien-Corchia,DF,Nantes,29,1990,25,2066,23,Ligue 1
Pierre Lees-Melou\Pierre-Lees-Melou,MF,Nice,27,1993,29,2063,22.9,Ligue 1
Pape Gueye\Pape-Gueye,MF,Marseille,21,1999,32,2058,22.9,Ligue 1
Pierrick Capelle\Pierrick-Capelle,MFDF,Angers,33,1987,35,2053,22.8,Ligue 1
Burak Yılmaz\Burak-Yilmaz,FW,Lille,35,1985,28,2051,22.8,Ligue 1
Timothée Kolodziejczak\Timothee-Kolodziejczak,DF,Saint-Etienne,28,1991,24,2036,22.6,Ligue 1
Miguel Trauco\Miguel-Trauco,DF,Saint-Etienne,27,1992,26,2035,22.6,Ligue 1
Moreto Cassamã\Moreto-Cassama,MF,Reims,22,1998,29,2031,22.6,Ligue 1
Stephy Mavididi\Stephy-Mavididi,FWMF,Montpellier,22,1998,35,2030,22.6,Ligue 1
Irvin Cardona\Irvin-Cardona,FWMF,Brest,22,1997,36,2029,22.5,Ligue 1
Jean-Kevin Duverne\Jean-Kevin-Duverne,DF,Brest,23,1997,27,2029,22.5,Ligue 1
Sofiane Diop\Sofiane-Diop,MFFW,Monaco,20,2000,32,2023,22.5,Ligue 1
Axel Disasi\Axel-Disasi,DF,Monaco,22,1998,29,2011,22.3,Ligue 1
Tino Kadewere\Tino-Kadewere,FW,Lyon,24,1996,33,2009,22.3,Ligue 1
Facundo Medina\Facundo-Medina,DF,Lens,21,1999,24,2007,22.3,Ligue 1
Alfred Gomis\Alfred-Gomis,GK,Rennes,26,1993,22,1980,22,Ligue 1
Djibril Sidibé\Djibril-Sidibe,DF,Monaco,28,1992,30,1980,22,Ligue 1
Boubakar Kouyaté\Boubakar-Kouyate,DF,Metz,23,1997,25,1964,21.8,Ligue 1
Adrien Truffert\Adrien-Truffert,DFMF,Rennes,18,2001,29,1951,21.7,Ligue 1
Jean-Charles Castelletto\Jean-Charles-Castelletto,DF,Nantes,25,1995,24,1947,21.6,Ligue 1
Senou Coulibaly\Senou-Coulibaly,DF,Dijon,25,1994,22,1934,21.5,Ligue 1
Fabien Lemoine\Fabien-Lemoine,MF,Lorient,33,1987,30,1934,21.5,Ligue 1
Kasper Dolberg\Kasper-Dolberg,FW,Nice,22,1997,25,1928,21.4,Ligue 1
Marshall Munetsi\Marshall-Munetsi,MFDF,Reims,24,1996,27,1928,21.4,Ligue 1
Boubakary Soumaré\Boubakary-Soumare,MF,Lille,21,1999,32,1919,21.3,Ligue 1
Alexis Claude-Maurice\Alexis-Claude-Maurice,MFFW,Nice,22,1998,30,1910,21.2,Ligue 1
Anthony Racioppi\Anthony-Racioppi,GK,Dijon,21,1998,21,1890,21,Ligue 1
Valentin Rongier\Valentin-Rongier,MF,Marseille,25,1994,26,1887,21,Ligue 1
Sacha Boey\Sacha-Boey,DF,Dijon,19,2000,24,1863,20.7,Ligue 1
Ángel Di María\Angel-Di-Maria,FWMF,Paris S-G,32,1988,27,1853,20.6,Ligue 1
Ander Herrera\Ander-Herrera,MF,Paris S-G,30,1989,31,1851,20.6,Ligue 1
Kenny Lala\Kenny-Lala,DF,Strasbourg,28,1991,21,1834,20.4,Ligue 1
Dimitri Liénard\Dimitri-Lienard,MF,Strasbourg,32,1988,34,1829,20.3,Ligue 1
Enzo Le Fée\Enzo-Le-Fee,MFFW,Lorient,20,2000,36,1816,20.2,Ligue 1
Jonathan Panzo\Jonathan-Panzo,DF,Dijon,19,2000,22,1801,20,Ligue 1
William Saliba\William-Saliba,DF,Nice,19,2001,20,1800,20,Ligue 1
Niclas Eliasson\Niclas-Eliasson,MFFW,Names,24,1995,30,1799,20,Ligue 1
Rony Lopes\Rony-Lopes,FWMF,Nice,24,1995,28,1783,19.8,Ligue 1
Houssem Aouar\Houssem-Aouar,MFFW,Lyon,22,1998,30,1781,19.8,Ligue 1
Thomas Delaine\Thomas-Delaine,DF,Metz,28,1992,24,1779,19.8,Ligue 1
Arnaud Nordin\Arnaud-Nordin,MFFW,Saint-Etienne,22,1998,32,1771,19.7,Ligue 1
Romain Hamouma\Romain-Hamouma,FW,Saint-Etienne,33,1987,29,1769,19.7,Ligue 1
Sehrou Guirassy\Sehrou-Guirassy,FW,Rennes,24,1996,27,1764,19.6,Ligue 1
Maxence Caqueret\Maxence-Caqueret,MF,Lyon,20,2000,29,1761,19.6,Ligue 1
Moussa Koné\Moussa-Kone,FW,Names,23,1996,33,1755,19.5,Ligue 1
Lucas Deaux\Lucas-Deaux,MFDF,Names,31,1988,25,1754,19.5,Ligue 1
Bruno Guimarães\Bruno-Guimaraes,MF,Lyon,22,1997,33,1754,19.5,Ligue 1
Lois Diony\Lois-Diony,FW,Angers,27,1992,36,1749,19.4,Ligue 1
Hicham Boudaoui\Hicham-Boudaoui,MFFW,Nice,20,1999,25,1736,19.3,Ligue 1
Adil Aouchiche\Adil-Aouchiche,MFFW,Saint-Etienne,18,2002,34,1731,19.2,Ligue 1
Matthieu Udol\Matthieu-Udol,DF,Metz,24,1996,25,1724,19.2,Ligue 1
Hatem Ben Arfa\Hatem-Ben-Arfa,MFFW,Bordeaux,33,1987,24,1703,18.9,Ligue 1
Charles Traore\Charles-Traore,DF,Nantes,28,1992,22,1700,18.9,Ligue 1
Moise Kean\Moise-Kean,FW,Paris S-G,20,2000,26,1698,18.9,Ligue 1
Mitchel Bakker\Mitchel-Bakker,DF,Paris S-G,20,2000,26,1694,18.8,Ligue 1
Lassana Coulibaly\Lassana-Coulibaly,MFFW,Angers,24,1996,29,1687,18.7,Ligue 1
Paul Lasne\Paul-Lasne,MF,Brest,31,1989,22,1681,18.7,Ligue 1
Abdoulaye Touré\Abdoulaye-Toure,MF,Nantes,26,1994,29,1681,18.7,Ligue 1
Victorien Angban\Victorien-Angban,MF,Metz,23,1996,26,1672,18.6,Ligue 1
Valon Berisha\Valon-Berisha,MF,Reims,27,1993,24,1645,18.3,Ligue 1
Leonardo Balerdi\Leonardo-Balerdi,DF,Marseille,21,1999,21,1634,18.2,Ligue 1
Loïck Landre\Loick-Landre,DF,Names,28,1992,20,1626,18.1,Ligue 1
Pedro Mendes\Pedro-Mendes,DF,Montpellier,29,1990,22,1626,18.1,Ligue 1
Jérôme Hergault\Jerome-Hergault,DF,Lorient,34,1986,22,1625,18.1,Ligue 1
Fouad Chafik\Fouad-Chafik,DF,Dijon,33,1986,23,1622,18,Ligue 1
Armand Lauriente\Armand-Lauriente,FWMF,Lorient,21,1998,29,1622,18,Ligue 1
Stéphane Bahoken\Stephane-Bahoken,FW,Angers,28,1992,30,1616,18,Ligue 1
Thilo Kehrer\Thilo-Kehrer,DF,Paris S-G,23,1996,24,1616,18,Ligue 1
Mohamed Simakan\Mohamed-Simakan,DF,Strasbourg,20,2000,19,1615,17.9,Ligue 1
Nicolas de Préville\Nicolas-de-Preville,FWMF,Bordeaux,29,1991,33,1611,17.9,Ligue 1
Wesley Lautoa\Wesley-Lautoa,MFDF,Dijon,32,1987,25,1608,17.9,Ligue 1
Pape Matar Sarr\Pape-Matar-Sarr,MF,Metz,17,2002,22,1594,17.7,Ligue 1
Yuto Nagatomo\Yuto-Nagatomo,DF,Marseille,33,1986,25,1594,17.7,Ligue 1
Idrissa Gana Gueye\Idrissa-Gana-Gueye,MF,Paris S-G,30,1989,28,1581,17.6,Ligue 1
Darío Benedetto\Dario-Benedetto,FW,Marseille,30,1990,32,1579,17.5,Ligue 1
Gaëtan Charbonnier\Gaetan-Charbonnier,MFFW,Brest,31,1988,36,1570,17.4,Ligue 1
Otávio\Otavio,MF,Bordeaux,26,1994,18,1559,17.3,Ligue 1
Dennis Appiah\Dennis-Appiah,DF,Nantes,28,1992,22,1556,17.3,Ligue 1
Pol Lirola\Pol-Lirola,DF,Marseille,22,1997,19,1553,17.3,Ligue 1
Gelson Martins\Gelson-Martins,MFFW,Monaco,25,1995,23,1551,17.2,Ligue 1
Alessandro Florenzi\Alessandro-Florenzi,DF,Paris S-G,29,1991,21,1538,17.1,Ligue 1
Florian Miguel\Florian-Miguel,DF,Names,23,1996,21,1538,17.1,Ligue 1
Fábio\Fabio,DF,Nantes,30,1990,22,1507,16.7,Ligue 1
Sofiane Alakouch\Sofiane-Alakouch,DF,Names,22,1998,22,1505,16.7,Ligue 1
Ibrahim Amadou\Ibrahim-Amadou,MF,Angers,27,1993,24,1504,16.7,Ligue 1
Luiz Araújo\Luiz-Araujo,MF,Lille,24,1996,28,1496,16.6,Ligue 1
Khéphren Thuram-Ulie\Khephren-Thuram-Ulie,MF,Nice,19,2001,29,1494,16.6,Ligue 1
Marco Verratti\Marco-Verratti,MF,Paris S-G,27,1992,21,1492,16.6,Ligue 1
Abdou Diallo\Abdou-Diallo,DF,Paris S-G,24,1996,22,1490,16.6,Ligue 1
Flavius Daniliuc\Flavius-Daniliuc,DF,Nice,19,2001,23,1477,16.4,Ligue 1
Marcus Coco\Marcus-Coco,MFFW,Nantes,24,1996,32,1474,16.4,Ligue 1
Mattia De Sciglio\Mattia-De-Sciglio,DF,Lyon,27,1992,29,1467,16.3,Ligue 1
Mathias Pereira Lage\Mathias-Pereira-Lage,FWMF,Angers,23,1996,28,1467,16.3,Ligue 1
Lamine Gueye\Lamine-Gueye,FWMF,Metz,22,1998,26,1454,16.2,Ligue 1
Steven Fortes\Steven-Fortes,DF,Lens,28,1992,18,1435,15.9,Ligue 1
Jordan Marié\Jordan-Marie,MF,Dijon,28,1991,24,1432,15.9,Ligue 1
Danilo Pereira\Danilo-Pereira,MFDF,Paris S-G,28,1991,23,1430,15.9,Ligue 1
Neymar\Neymar,MFFW,Paris S-G,28,1992,18,1415,15.7,Ligue 1
Christophe Hérelle\Christophe-Herelle,DF,Brest,27,1992,16,1377,15.3,Ligue 1
Simon Banza\Simon-Banza,FW,Lens,23,1996,34,1372,15.2,Ligue 1
Nicolas Cozza\Nicolas-Cozza,DF,Montpellier,21,1999,20,1369,15.2,Ligue 1
Flavien Tait\Flavien-Tait,MFFW,Rennes,27,1993,23,1368,15.2,Ligue 1
Rafinha\Rafinha,MF,Paris S-G,27,1993,23,1361,15.1,Ligue 1
Colin Dagba\Colin-Dagba,DF,Paris S-G,21,1998,25,1357,15.1,Ligue 1
Matthieu Dreyer\Matthieu-Dreyer,GK,Lorient,31,1989,15,1350,15,Ligue 1
Romain Salin\Romain-Salin,GK,Rennes,36,1984,15,1350,15,Ligue 1
Abdoulaye Bamba\Abdoulaye-Bamba,DF,Angers,30,1990,16,1347,15,Ligue 1
Lionel Carole\Lionel-Carole,DF,Strasbourg,29,1991,27,1342,14.9,Ligue 1
Jean-Clair Todibo\Jean-Clair-Todibo,DF,Nice,20,1999,15,1330,14.8,Ligue 1
Lucas Douath\Lucas-Douath,MF,Saint-Etienne,16,2003,30,1327,14.7,Ligue 1
Mehdi Abeid\Mehdi-Abeid,MF,Nantes,27,1992,18,1320,14.7,Ligue 1
Pablo Sarabia\Pablo-Sarabia,FWMF,Paris S-G,28,1992,27,1320,14.7,Ligue 1
Patrick Burner\Patrick-Burner,DF,Names,24,1996,22,1317,14.6,Ligue 1
Quentin Boisgard\Quentin-Boisgard,MFFW,Lorient,23,1997,24,1314,14.6,Ligue 1
Ignatius Ganago\Ignatius-Ganago,FW,Lens,21,1999,24,1304,14.5,Ligue 1
Leandro Paredes\Leandro-Paredes,MF,Paris S-G,26,1994,21,1302,14.5,Ligue 1
Houboulang Mendes\Houboulang-Mendes,DF,Lorient,22,1998,17,1297,14.4,Ligue 1
Arber Zeneli\Arber-Zeneli,MFFW,Reims,25,1995,28,1289,14.3,Ligue 1
Mounir Chouiar\Mounir-Chouiar,FWMF,Dijon,21,1999,23,1288,14.3,Ligue 1
Layvin Kurzawa\Layvin-Kurzawa,DF,Paris S-G,27,1992,19,1278,14.2,Ligue 1
Renato Sanches\Renato-Sanches,MF,Lille,22,1997,23,1270,14.1,Ligue 1
Domagoj Bradarić\Domagoj-Bradaric,DF,Lille,20,1999,26,1263,14,Ligue 1
Pape Abou Cisse\Pape-Abou-Cisse,DF,Saint-Etienne,24,1995,14,1260,14,Ligue 1
Sada Thioub\Sada-Thioub,FWMF,Angers,25,1995,27,1256,14,Ligue 1
Stanley N'Soki\Stanley-NSoki,DF,Nice,21,1999,18,1246,13.8,Ligue 1
El Bilal Touré\El-Bilal-Toure,FWMF,Reims,18,2001,33,1245,13.8,Ligue 1
Yassine Benrahou\Yassine-Benrahou,MF,Names,21,1999,23,1239,13.8,Ligue 1
Zaydou Youssouf\Zaydou-Youssouf,MF,Saint-Etienne,21,1999,29,1229,13.7,Ligue 1
Damien Le Tallec\Damien-Le-Tallec,MFDF,Montpellier,30,1990,23,1227,13.6,Ligue 1
Anthony Briançon\Anthony-Briancon,DF,Names,25,1994,16,1225,13.6,Ligue 1
Arnaud Souquet\Arnaud-Souquet,DF,Montpellier,28,1992,23,1224,13.6,Ligue 1
Arkadiusz Milik\Arkadiusz-Milik,FW,Marseille,26,1994,15,1220,13.6,Ligue 1
Arnaud Kalimuendo\Arnaud-Kalimuendo,FW,Lens,18,2002,28,1218,13.5,Ligue 1
Andy Pelmard\Andy-Pelmard,DF,Nice,20,2000,19,1207,13.4,Ligue 1
Xeka\Xeka,MF,Lille,25,1994,33,1200,13.3,Ligue 1
Moussa Konaté\Moussa-Konate,FW,Dijon,27,1993,27,1196,13.3,Ligue 1
Mehdi Zerkane\Mehdi-Zerkane,MFFW,Bordeaux,21,1999,27,1187,13.2,Ligue 1
Wahbi Khazri\Wahbi-Khazri,FW,Saint-Etienne,29,1991,22,1181,13.1,Ligue 1
Faitout Maouassa\Faitout-Maouassa,DF,Rennes,22,1998,23,1170,13,Ligue 1
Joris Chotard\Joris-Chotard,MF,Montpellier,18,2001,29,1165,12.9,Ligue 1
Clément Michelin\Clement-Michelin,DF,Lens,23,1997,26,1154,12.8,Ligue 1
Thomas Monconduit\Thomas-Monconduit,MF,Lorient,29,1991,27,1153,12.8,Ligue 1
Sinaly Diomande\Sinaly-Diomande,DF,Lyon,19,2001,27,1133,12.6,Ligue 1
Opa Nguette\Opa-Nguette,FWMF,Metz,26,1994,16,1132,12.6,Ligue 1
Frédéric Sammaritano\Frederic-Sammaritano,FWMF,Dijon,34,1986,30,1130,12.6,Ligue 1
Kelyan Guessoum\Kelyan-Guessoum,DF,Names,21,1999,15,1128,12.5,Ligue 1
Issiaga Sylla\Issiaga-Sylla,DF,Lens,26,1994,20,1116,12.4,Ligue 1
Frederic Guilbert\Frederic-Guilbert,DF,Strasbourg,25,1994,13,1114,12.4,Ligue 1
Mateo Pavlović\Mateo-Pavlovic,DF,Angers,30,1990,14,1104,12.3,Ligue 1
Pape Cheikh Diop\Pape-Cheikh-Diop,MF,Dijon,22,1997,21,1089,12.1,Ligue 1
Yusuf Yazıcı\Yusuf-Yazici,FWMF,Lille,23,1997,32,1086,12.1,Ligue 1
Saturnin Allagbé\Saturnin-Allagbe,GK,Dijon,26,1993,12,1080,12,Ligue 1
Mauro Icardi\Mauro-Icardi,FW,Paris S-G,27,1993,20,1079,12,Ligue 1
Clément Grenier\Clement-Grenier,MF,Rennes,29,1991,23,1078,12,Ligue 1
Myziane Maolida\Myziane-Maolida,FWMF,Nice,21,1999,19,1077,12,Ligue 1
Pablo\Pablo,DF,Bordeaux,29,1991,13,1076,12,Ligue 1
Mamadou Fofana\Mamadou-Fofana,MFDF,Metz,22,1998,16,1070,11.9,Ligue 1
Aleksandr Golovin\Aleksandr-Golovin,MFFW,Monaco,24,1996,21,1069,11.9,Ligue 1
Julian Draxler\Julian-Draxler,MFFW,Paris S-G,26,1993,24,1064,11.8,Ligue 1
Jeff Reine-Adélaïde\Jeff-Reine-Adelaide,MFFW,Nice,22,1998,14,1058,11.8,Ligue 1
Robson Bambu\Robson-Bambu,DF,Nice,22,1997,15,1046,11.6,Ligue 1
Gaëtan Paquiez\Gaetan-Paquiez,DF,Names,26,1994,16,1046,11.6,Ligue 1
Lamine Koné\Lamine-Kone,DF,Strasbourg,31,1989,15,1042,11.6,Ligue 1
Enock Kwateng\Enock-Kwateng,DF,Bordeaux,23,1997,18,1038,11.5,Ligue 1
Mickaël Cuisance\Mickael-Cuisance,MF,Marseille,20,1999,23,1024,11.4,Ligue 1
Jean Lucas\Jean-Lucas,MF,Brest,22,1998,16,1011,11.2,Ligue 1
Aaron Leya Iseka\Aaron-Leya-Iseka,FW,Metz,22,1997,21,1008,11.2,Ligue 1
Papa Ndiaga Yade\Papa-Ndiaga-Yade,FWMF,Metz,20,2000,28,1001,11.1,Ligue 1
Saidou Sow\Saidou-Sow,DF,Saint-Etienne,18,2002,15,1000,11.1,Ligue 1
Kalifa Coulibaly\Kalifa-Coulibaly,FW,Nantes,28,1991,17,981,10.9,Ligue 1
Vagner Gonçalves\Vagner-Goncalves,FWMF,Metz,24,1996,26,967,10.7,Ligue 1
Samuel Kalu\Samuel-Kalu,FWMF,Bordeaux,22,1997,20,964,10.7,Ligue 1
Lilian Brassier\Lilian-Brassier,DF,Brest,20,1999,11,962,10.7,Ligue 1
Adrian Grbić\Adrian-Grbic,FW,Lorient,23,1996,33,961,10.7,Ligue 1
Youcef Attal\Youcef-Attal,DFMF,Nice,24,1996,18,956,10.6,Ligue 1
Julien Faussurier\Julien-Faussurier,DF,Brest,33,1987,17,955,10.6,Ligue 1
Jimmy Cabot\Jimmy-Cabot,FWMF,Angers,26,1994,22,942,10.5,Ligue 1
Abdoul Kader Bamba\Abdoul-Kader-Bamba,FWMF,Nantes,26,1994,29,917,10.2,Ligue 1
Vincent Pajot\Vincent-Pajot,MF,Metz,29,1990,12,914,10.2,Ligue 1
Charles Abi\Charles-Abi,FWMF,Saint-Etienne,20,2000,24,912,10.1,Ligue 1
Antonin Bobichon\Antonin-Bobichon,MFFW,Angers,24,1995,23,911,10.1,Ligue 1
Jonathan Delaplace\Jonathan-Delaplace,DF,Lorient,34,1986,18,906,10.1,Ligue 1
Matteo Ahlinvi\Matteo-Ahlinvi,MF,Names,21,1999,20,899,10,Ligue 1
Moussa Doumbia\Moussa-Doumbia,MFFW,Reims,25,1994,23,899,10,Ligue 1
Timothy Weah\Timothy-Weah,FWMF,Lille,20,2000,28,878,9.8,Ligue 1
Cesc Fàbregas\Cesc-Fabregas,MF,Monaco,33,1987,21,877,9.7,Ligue 1
Tiago Djaló\Tiago-Djalo,DF,Lille,20,2000,17,873,9.7,Ligue 1
Gerzino Nyamsi\Gerzino-Nyamsi,DF,Rennes,23,1997,14,871,9.7,Ligue 1
Valère Germain\Valere-Germain,FW,Marseille,30,1990,24,857,9.5,Ligue 1
Pierre-Yves Hamel\Pierre-Yves-Hamel,FW,Lorient,26,1994,23,849,9.4,Ligue 1
Roger Assalé\Roger-Assale,FWMF,Dijon,26,1993,17,828,9.2,Ligue 1
Morgan Sanson\Morgan-Sanson,MF,Marseille,25,1994,12,826,9.2,Ligue 1
Ismaëlben Boura\Ismaelben-Boura,DF,Lens,19,2000,19,816,9.1,Ligue 1
Jérémy Le Douaron\Jeremy-Le-Douaron,FWMF,Brest,22,1998,28,816,9.1,Ligue 1
Jordan Amavi\Jordan-Amavi,DF,Marseille,26,1994,13,813,9,Ligue 1
Vito Mannone\Vito-Mannone,GK,Monaco,32,1988,9,810,9,Ligue 1
Sergio Rico\Sergio-Rico,GK,Paris S-G,26,1993,10,810,9,Ligue 1
Josh Maja\Josh-Maja,FW,Bordeaux,21,1998,17,804,8.9,Ligue 1
Stevan Jovetić\Stevan-Jovetic,FWMF,Monaco,30,1989,29,802,8.9,Ligue 1
Mehdi Chahiri\Mehdi-Chahiri,FWMF,Strasbourg,24,1996,23,801,8.9,Ligue 1
