,,,,,,Play,Play,Play,Play
Player,Nation,Pos,Squad,Age,Born,MP,Min▼,90s,Starts
Douglas Luiz\Douglas-Luiz,br BRA,MF,Aston Villa,22,1998,33,2781,30.9,32
Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,26,1993,33,2780,30.9,31
Stuart Armstrong\Stuart-Armstrong,sct SCO,MF,Southampton,28,1992,33,2764,30.7,32
Rodri\Rodri,es ESP,MF,Manchester City,24,1996,34,2748,30.5,31
Ademola Lookman\Ademola-Lookman,eng ENG,FWMF,Fulham,22,1997,34,2747,30.5,31
Edouard Mendy\Edouard-Mendy,sn SEN,GK,Chelsea,28,1992,31,2745,30.5,31
Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,26,1994,31,2742,30.5,31
Chris Wood\Chris-Wood,nz NZL,FW,Burnley,28,1991,33,2741,30.5,32
Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,24,1996,31,2730,30.3,30
Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,30,1989,30,2700,30.0,30
Enda Stevens\Enda-Stevens,ie IRL,DF,Sheffield Utd,30,1990,30,2700,30.0,30
Ben Mee\Ben-Mee,eng ENG,DF,Burnley,30,1989,30,2693,29.9,30
Ben Godfrey\Ben-Godfrey,eng ENG,DF,Everton,22,1998,31,2685,29.8,29
Lucas Digne\Lucas-Digne,fr FRA,DF,Everton,27,1993,30,2681,29.8,30
Rúben Neves\Ruben-Neves,pt POR,MF,Wolves,23,1997,36,2675,29.7,31
Che Adams\Che-Adams,sct SCO,FW,Southampton,24,1996,36,2667,29.6,30
Ola Aina\Ola-Aina,ng NGA,DF,Fulham,23,1996,31,2664,29.6,31
Luke Shaw\Luke-Shaw,eng ENG,DF,Manchester Utd,25,1995,32,2654,29.5,30
Adama Traoré\Adama-Traore,es ESP,FW,Wolves,24,1996,37,2649,29.4,28
Kyle Walker-Peters\Kyle-Walker-Peters,eng ENG,DF,Southampton,23,1997,30,2645,29.4,30
John Egan\John-Egan,ie IRL,DF,Sheffield Utd,27,1992,31,2629,29.2,30
Jonjo Shelvey\Jonjo-Shelvey,eng ENG,MF,Newcastle Utd,28,1992,30,2617,29.1,29
Wilfried Zaha\Wilfried-Zaha,ci CIV,FW,Crystal Palace,27,1992,30,2612,29.0,29
Leandro Trossard\Leandro-Trossard,be BEL,FWMF,Brighton,25,1994,35,2607,29.0,30
Timo Werner\Timo-Werner,de GER,FW,Chelsea,24,1996,35,2602,28.9,29
Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,30,1989,29,2598,28.9,29
Adam Webster\Adam-Webster,eng ENG,DF,Brighton,25,1995,29,2594,28.8,29
Andre-Frank Zambo Anguissa\Andre-Frank-Zambo-Anguissa,cm CMR,MF,Fulham,24,1995,36,2587,28.7,29
Victor Lindelöf\Victor-Lindelof,se SWE,DF,Manchester Utd,26,1994,29,2585,28.7,29
Kyle Bartley\Kyle-Bartley,eng ENG,DF,West Brom,29,1991,30,2584,28.7,28
Matheus Pereira\Matheus-Pereira,br BRA,MFFW,West Brom,24,1996,33,2577,28.6,30
