,,,,,,,SCA,SCA,SCA,SCA,SCA,SCA,SCA
Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld
Kyle Walker-Peters\Kyle-Walker-Peters,eng ENG,DF,Southampton,23,1997,29.4,42,1.43,33,0,3,1,2
Aaron Wan-Bissaka\Aaron-Wan-Bissaka,eng ENG,DF,Manchester Utd,22,1997,34.0,57,1.68,50,1,2,1,0
Joel Ward\Joel-Ward,eng ENG,DF,Crystal Palace,30,1989,25.1,15,0.60,14,1,0,0,0
James Ward-Prowse\James-Ward-Prowse,eng ENG,MF,Southampton,25,1994,38.0,84,2.21,39,41,0,2,2
Ollie Watkins\Ollie-Watkins,eng ENG,FW,Aston Villa,24,1995,37.0,98,2.65,74,0,4,11,5
Caleb Watts\Caleb-Watts,au AUS,MFFW,Southampton,18,2002,0.4,1,2.31,0,0,0,0,1
Adam Webster\Adam-Webster,eng ENG,DF,Brighton,25,1995,28.8,20,0.69,18,0,0,1,1
Danny Welbeck\Danny-Welbeck,eng ENG,FW,Brighton,29,1990,17.2,50,2.91,34,0,3,7,6
Timo Werner\Timo-Werner,de GER,FW,Chelsea,24,1996,28.9,85,2.94,56,0,6,9,13
Ashley Westwood\Ashley-Westwood,eng ENG,MF,Burnley,30,1990,37.9,84,2.22,59,21,1,0,1
Ben White\Ben-White,eng ENG,DFMF,Brighton,22,1997,35.5,26,0.73,22,0,1,0,1
Georginio Wijnaldum\Georginio-Wijnaldum,nl NED,MF,Liverpool,29,1990,32.7,53,1.62,46,0,2,2,3
Brandon Williams\Brandon-Williams,eng ENG,DF,Manchester Utd,19,2000,2.1,1,0.48,1,0,0,0,0
Neco Williams\Neco-Williams,wls WAL,DF,Liverpool,19,2001,2.8,4,1.45,4,0,0,0,0
Rhys Williams\Rhys-Williams,eng ENG,DF,Liverpool,19,2001,7.3,5,0.68,4,0,0,1,0
Willian\Willian,br BRA,FWMF,Arsenal,31,1988,15.6,60,3.84,37,12,2,4,5
Joe Willock\Joe-Willock,eng ENG,MF,Arsenal,20,1999,2.6,7,2.65,7,0,0,0,0
Joe Willock\Joe-Willock,eng ENG,MF,Newcastle Utd,20,1999,10.9,27,2.48,17,0,3,3,3
Callum Wilson\Callum-Wilson,eng ENG,FW,Newcastle Utd,28,1992,23.2,52,2.25,29,0,5,2,15
Harry Winks\Harry-Winks,eng ENG,MF,Tottenham,24,1996,9.6,8,0.84,6,0,1,0,0
Chris Wood\Chris-Wood,nz NZL,FW,Burnley,28,1991,30.5,47,1.54,37,0,4,2,2
Granit Xhaka\Granit-Xhaka,ch SUI,MFDF,Arsenal,27,1992,28.0,40,1.43,36,0,0,2,2
Andriy Yarmolenko\Andriy-Yarmolenko,ua UKR,FWMF,West Ham,30,1989,4.2,13,3.12,10,1,0,1,1
DeAndre Yedlin\DeAndre-Yedlin,us USA,DF,Newcastle Utd,27,1993,4.8,6,1.24,4,1,0,0,1
Okay Yokuşlu\Okay-Yokuslu,tr TUR,MF,West Brom,26,1994,14.6,11,0.75,7,0,0,1,3
Wilfried Zaha\Wilfried-Zaha,ci CIV,FW,Crystal Palace,27,1992,29.0,85,2.93,48,0,16,5,14
Andre-Frank Zambo Anguissa\Andre-Frank-Zambo-Anguissa,cm CMR,MF,Fulham,24,1995,28.7,57,1.98,43,0,8,2,3
Andi Zeqiri\Andi-Zeqiri,ch SUI,FWDF,Brighton,21,1999,1.9,4,2.11,3,0,1,0,0
Oleksandr Zinchenko\Oleksandr-Zinchenko,ua UKR,DF,Manchester City,23,1996,16.4,30,1.83,23,4,0,1,1
Hakim Ziyech\Hakim-Ziyech,ma MAR,FWMF,Chelsea,27,1993,13.0,70,5.38,53,7,3,6,1
Kurt Zouma\Kurt-Zouma,fr FRA,DF,Chelsea,25,1994,22.5,11,0.49,8,0,0,3,0
Martin Ødegaard\Martin-Odegaard,no NOR,MF,Arsenal,21,1998,9.6,42,4.36,34,4,1,1,2
